upd72020x-fw 1:1.0.0-3
upower 1.90.9-1
usbmuxd 1.1.1-4
util-linux 2.41-4
util-linux-libs 2.41-4
v4l-utils 1.30.1-1
vala 0.56.18-2
vapoursynth R70-2
vid.stab 1.1.1-2
vim-runtime 9.1.1376-1
visual-studio-code-bin 1.100.2-1
vmaf 3.0.0-1
volume_key 0.3.12-10
vpl-gpu-rt 25.2.3-1
vte-common 0.80.1-1
vte3 0.80.1-1
vulkan-headers 1:1.4.313.0-1
vulkan-icd-loader 1.4.313.0-1
vulkan-intel 1:25.1.1-1
vulkan-nouveau 1:25.1.1-1
vulkan-radeon 1:25.1.1-1
wasi-compiler-rt 19.1.6-1
wasi-libc 1:0+410+574b88da-2
wasi-libc++ 19.1.6-2
wasi-libc++abi 19.1.6-2
waybar 0.12.0-1
wayland 1.23.1-2
wayland-protocols 1.44-1
wd719x-firmware 1-7
webkit2gtk-4.1 2.48.2-1
webrtc-audio-processing-1 1.3-4
wev 1.0.0-13
wget 1.25.0-2
which 2.23-1
wireless_tools 30.pre9-4
wireplumber 0.5.10-1
wl-clipboard 1:2.2.1-2
wl-screenrec-git r269.4b65bd3-1
woff2 1.0.2-6
wofi 1.4.1-1
wpa_supplicant 2:2.11-3
x264 3:0.164.r3108.31e19f9-2
x265 4.0-1
xapp 2.8.9-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcur2png 0.7.1-8
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.3-1
